trial,cycles
0,2174693
1,1111235
2,1109793
3,1109876
4,884547
5,416180
6,416152
7,416152
8,416225
9,429223
10,416271
11,416152
12,416201
13,416145
14,416180
15,416148
16,416162
17,416178
18,416192
19,416202
20,416150
21,416195
22,416151
23,416192
24,416117
25,416203
26,416130
27,416249
28,425235
29,416303
30,416172
31,416156
32,416190
33,416141
34,416196
35,416118
36,416253
37,416138
38,416197
39,416136
40,416200
41,416154
42,416178
43,416148
44,416218
45,416168
46,416176
47,447046
48,399587
49,399560
50,399521
51,399517
52,399572
53,399550
54,399519
55,399491
56,425741
57,384156
58,384142
59,384152
60,384144
61,384184
62,384146
63,384150
64,384144
65,384154
66,384149
67,384145
68,392266
69,384144
70,391772
71,384146
72,410718
73,369933
74,369927
75,369894
76,369909
77,369982
78,369954
79,369943
80,369905
81,369911
82,369944
83,369943
84,369929
85,369941
86,369921
87,369935
88,369951
89,379508
90,369965
91,369905
92,369915
93,369929
94,369941
95,369925
96,369897
97,369923
98,369967
99,369959
100,369931
101,369903
102,369898
103,369937
104,369946
105,385610
106,356717
107,356692
108,356742
109,374348
110,423725
111,381980
112,369945
113,411136
114,370380
115,379203
116,387849
117,630150
118,499423
119,400250
120,356738
121,356702
122,356683
123,356746
124,356712
125,356742
126,356702
127,356694
128,356740
129,356681
130,356742
131,368145
132,356705
133,356744
134,356679
135,356709
136,356738
137,356680
138,356789
139,356686
140,356720
141,356726
142,356676
143,356744
144,356679
145,356714
146,356714
147,356715
148,356750
149,356677
150,356714
151,356724
152,356680
153,394773
154,416889
155,357580
156,356691
157,356742
158,356674
159,356736
160,356701
161,358619
162,360621
163,356691
164,356712
165,363874
166,356772
167,356744
168,356695
169,356693
170,356782
171,356695
172,380219
173,356788
174,356679
175,366295
176,356954
177,356677
178,356724
179,356714
180,376970
181,344418
182,344384
183,344460
184,344377
185,344460
186,344419
187,344379
188,344442
189,344381
190,344428
191,344414
192,344381
193,344480
194,344373
195,344454
196,344412
197,344393
198,357102
199,344565
200,344808
201,344729
202,344431
203,344395
204,344757
205,344448
206,344732
207,348777
208,352999
209,344446
210,344778
211,344419
212,344438
213,344382
